date,Ab,pos_total,pos_known_white ,pos_known_black ,pos_known_latinx_hisp,pos_known_asian,pos_known_hisp,deaths_total,deaths_known_white ,deaths_known_black ,deaths_known_latinx_hisp,deaths_known_asian,deaths_known_hisp
20200614,AR,12501,5701,3390,,111,2648,179,102,54,,1,10
20200614,AS,,,,,,,,,,,,
20200614,AZ,35691,6573,1000,9328,324,9328,1186,533,34,232,15,232
20200614,CA,148855,19045,4966,59702,8350,59702,5063,1632,470,1985,722,1985
20200614,CO,29130,10041,1689,11241,780,11241,1599,1001,106,334,55,334
20200614,CT,45088,15570,5846,8251,655,8251,4201,3070,625,355,45,355
20200614,DC,9767,1939,4889,,156,2820,515,55,382,66,7,66
20200614,DE,10264,2977,2734,2936,156,2936,422,257,112,27,1,27
20200614,FL,75568,18571,13986,27080,,27080,2931,1446,603,706,,706
20200614,GA,57681,14485,17461,8573,870,8573,2451,1076,1170,116,38,116
20200614,GU,185,7,,,86,,5,,,,,
20200614,HI,728,158,7,,242,,17,,,,,
20200614,IA,23924,14594,2392,,2153,6460,652,515,32,,32,45
20200614,ID,3399,1774,65,,47,813,87,83,1,,2,6
20200614,IL,132543,26338,22004,42950,3803,42950,6308,2770,1793,1257,298,1257
20200614,IN,39909,17553,5126,,627,4667,2240,1435,339,,10,43
20200614,KS,11047,7016,1081,,685,4843,243,165,60,,7,30
20200614,KY,12445,6086,1309,,425,1365,499,374,80,,8,15
20200614,LA,46619,,,,,,3014,1293,1566,,22,59
20200614,MA,105603,31047,9821,20064,2112,20064,7624,5596,632,526,198,526
20200614,MD,61701,12022,17692,16738,1200,16738,2939,1260,1200,302,113,302
20200614,ME,2793,1669,638,,41,76,100,87,1,,,0
20200614,MI,66054,25026,19509,,1468,4623,6016,3096,2395,,77,120
